COUNTRY,INSTITUTION,INSTITUTION TYPE,INSTITUTION WEBSITE,INSTITUTION WIKIDATA,OPEN ACCESS SCOPE,LICENCE/RIGHTS STATEMENT FOR DIGITAL SURROGATES OF PUBLIC DOMAIN OBJECTS ,CLOSEST EQUIVALENT LICENCE (IF USING NON-STANDARD),RIGHTS POLICY OR TERMS OF USE,"LICENCE/RIGHTS STATEMENT FOR METADATA 
(IF STATED)",GITHUB,API,DATA SOURCE(S),,,,,,,,,,,
Bulgaria,Регионална библиотека “Любен Каравелов” (Luben Karavelov Regional Library),Library,https://www.libruse.bg,,Some eligible data,CC0,,https://www.libruse.bg/,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BCOUNTRY%5D%5B%5D=Bulgaria&f%5BREUSABILITY%5D%5B%5D=open&per_page=72&q=&view=grid&f%5BREUSABILITY%5D%5B%5D=restricted,,,,,,,,,,,
Bulgaria,Централна библиотека на БАН (Central Library of the Bulgarian Academy of Sciences),Library,http://cl.bas.bg,https://www.wikidata.org/wiki/Q12298877,Some eligible data,Public Domain Mark,,http://cl.bas.bg/index_html?set_language=en,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BCOUNTRY%5D%5B%5D=Bulgaria&f%5BREUSABILITY%5D%5B%5D=open&per_page=72&q=&view=grid&f%5BREUSABILITY%5D%5B%5D=restricted,,,,,,,,,,,
Canada,Archives of the Law Society of Ontario,Archive,https://lso.ca,https://www.wikidata.org/wiki/Q6503109,Some eligible data,No known copyright restrictions,No Known Copyright,https://lso.ca/about-lso/osgoode-hall-and-ontario-legal-heritage/collections-and-research,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/lsuc_archives/,,,,,,,,,,,
Canada,Canada Agriculture and Food Museum,Museum,https://ingeniumcanada.org/cafm,https://www.wikidata.org/wiki/Q4212098,All eligible data,CC0,,https://ingeniumcanada.org/archives/terms-and-conditions,Open Government Licence - Canada 2.0,,,http://data.techno-science.ca/en,,,,,,,,,,,
Canada,Canada Aviation and Space Museum,Museum,https://ingeniumcanada.org/casm,https://www.wikidata.org/wiki/Q1031932,All eligible data,CC0,,https://ingeniumcanada.org/archives/terms-and-conditions,Open Government Licence - Canada 2.0,,,http://data.techno-science.ca/en,,,,,,,,,,,
Canada,Canada Science and Technology Museum,Museum,https://ingeniumcanada.org/cstm,https://www.wikidata.org/wiki/Q1163464,All eligible data,CC0,,https://ingeniumcanada.org/archives/terms-and-conditions,Open Government Licence - Canada 2.0,,,http://data.techno-science.ca/en,,,,,,,,,,,
Canada,Cloyne Pioneer Museum and Archives,Museum,http://pioneer.mazinaw.on.ca,https://www.wikidata.org/wiki/Q61058427,Some eligible data,No known copyright restrictions,No Known Copyright,http://pioneer.mazinaw.on.ca/flickr_statement.php,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/cdhs,,,,,,,,,,,
Canada,Congregation of Sisters of St. Joseph in Canada,Other,http://www.csjcanada.org,https://www.wikidata.org/wiki/Q64595220,Some eligible data,No known copyright restrictions,No Known Copyright,http://www.csjcanada.org/csj-archives,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/csj_canada_archives,,,,,,,,,,,
Canada,Deseronto Archives,Archive,https://deserontoarchives.ca,https://www.wikidata.org/wiki/Q64604954,Some eligible data,No known copyright restrictions,No Known Copyright,https://www.flickr.com/commons/usage/,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/deserontoarchives,,,,,,,,,,,
Canada,Dundas Museum & Archives,Museum,http://www.dundasmuseum.ca,https://www.wikidata.org/wiki/Q64604994,Some eligible data,No known copyright restrictions,No Known Copyright,https://www.flickr.com/commons/usage/,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/dundasmuseum,,,,,,,,,,,
Canada,Galt Museum & Archives ,Museum,https://www.galtmuseum.com,https://www.wikidata.org/wiki/Q5519354,Some eligible data,No known copyright restrictions,No Known Copyright,https://www.flickr.com/commons/usage/,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/galt-museum,,,,,,,,,,,
Canada,Halifax Municipal Archives,Archive,https://www.halifax.ca/about-halifax/municipal-archives,https://www.wikidata.org/wiki/Q61064490,Some eligible data,No known copyright restrictions,No Known Copyright,https://www.halifax.ca/about-halifax/municipal-archives/services/copying-services,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/halifaxarchives,,,,,,,,,,,
Canada,Hamilton Public Library,Library,http://www.hpl.ca/local-history,https://www.wikidata.org/wiki/Q5645111,Some eligible data,No known copyright restrictions,No Known Copyright,http://www.hpl.ca/articles/use-images,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/hpllocalhistory,,,,,,,,,,,
Canada,Huron County Museum & Historic Gaol,Museum,http://huroncounty.ca/museum,,Some eligible data,No known copyright restrictions,No Known Copyright,http://huroncounty.ca/museum/online_collections.php,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/huroncountymuseum,,,,,,,,,,,
Canada,Musée McCord,Museum,http://www.musee-mccord.qc.ca,https://www.wikidata.org/wiki/Q1128578,Some eligible data,No known copyright restrictions,No Known Copyright,https://www.flickr.com/commons/usage/,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/museemccordmuseum,,,,,,,,,,,
Canada,Nova Scotia Archives,Archive,https://archives.novascotia.ca,https://www.wikidata.org/wiki/Q7064104,Some eligible data,No known copyright restrictions,No Known Copyright,https://www.flickr.com/commons/usage/,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/nsarchives,,,,,,,,,,,
Canada,Provincial Archives of Alberta,Archive,http://culture.alberta.ca/paa,https://www.wikidata.org/wiki/Q2860566,Some eligible data,No known copyright restrictions,No Known Copyright,http://culture.alberta.ca/paa/about/flickr.aspx,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/alberta_archives,,,,,,,,,,,
Canada,UBC Library Digitization Centre,University,https://www.ubc.ca,https://www.wikidata.org/wiki/Q391028,Some eligible data,No known copyright restrictions,No Known Copyright,http://digitalcollections.library.ubc.ca/cdm/about,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/ubclibrary_digicentre,,,,,,,,,,,
Canada,University of Victoria Libraries,University,http://www.uvic.ca/library,https://www.wikidata.org/wiki/Q50280985,Some eligible data,No known copyright restrictions,No Known Copyright,http://www.uvic.ca/library/featured/collections/disclaimer-flickr.php,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/128520551@N04,,,,,,,,,,,
Canada,Vancouver Public Library,Library,http://www.vpl.ca,https://www.wikidata.org/wiki/Q1376408,Some eligible data,No known copyright restrictions,No Known Copyright,https://www.vpl.ca/find/cat/C393/C393,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/99915476@N04,,,,,,,,,,,
Chile,Memoria Chilena,Other,http://www.memoriachilena.cl,https://www.wikidata.org/wiki/Q15059439,All eligible data,"In Memoria Chilena you can find works of great heritage value that are part of the Common Cultural Heritage. Such creations can be used by anyone, provided that the paternity and integrity of the work is respected.'",Public Domain Mark,http://www.memoriachilena.cl/602/w3-article-123838.html#i__w3_ar_acercade_cuerpo_1_123838_Propiedad20intelectual20y20derechos20de20autor,,,,http://www.memoriachilena.cl,,,,,,,,,,,
Chile,Museo Nacional de Historia Natural de Chile,Museum,http://www.mnhn.cl,https://www.wikidata.org/wiki/Q3064279,Some eligible data,CC BY,,http://www.dibam.cl/portal/Contenido/Institucional/29742:TERMINOS-Y-CONDICIONES-DE-USO,,,,https://sketchfab.com/MNHNcl,,,,,,,,,,,
Croatia,Hrvatska akademija znanosti i umjetnosti,University,http://info.hazu.hr,https://www.wikidata.org/wiki/Q1264085,Some eligible data,Public Domain Mark,,http://dizbi.hazu.hr/?terms,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BDATA_PROVIDER%5D%5B%5D=Croatian+Academy+of+Sciences+and+Arts&f%5BREUSABILITY%5D%5B%5D=open&per_page=72&q=&view=grid&f%5BREUSABILITY%5D%5B%5D=restricted,,,,,,,,,,,
